"inst","eid","pid","pmid","uptake","proj","exper","exper2","institute","country","submitter","file","first.row.in.file.int","last.row.in.file.int","row.in.file.plot","pub.id","pub.info","lat","long","topo","field","plot","plot.area","treat","rep","rep2","n.ints","t.start.p","t.end.p","dt1","dt.min","dt.max","ct.min","ct.max","meas.tech","meas.tech2","meas.tech.orig","meas.tech.det","j.NH31","j.rel1","e.1","e.4","e.6","e.12","e.24","e.48","e.72","e.96","e.168","e.final","e.cum.1","e.cum.4","e.cum.6","e.cum.12","e.cum.24","e.cum.48","e.cum.72","e.cum.96","e.cum.168","e.cum.final","e.rel.1","e.rel.4","e.rel.6","e.rel.12","e.rel.24","e.rel.48","e.rel.72","e.rel.96","e.rel.168","e.rel.final","clay","silt","sand","oc","soil.type","soil.type2","soil.water","soil.water.v","soil.moist","soil.ph","soil.dens","crop.res","till","air.temp.1","air.temp.4","air.temp.6","air.temp.12","air.temp.24","air.temp.48","air.temp.72","air.temp.96","air.temp.168","air.temp.mn","air.temp.z","soil.temp.1","soil.temp.4","soil.temp.6","soil.temp.12","soil.temp.24","soil.temp.48","soil.temp.72","soil.temp.96","soil.temp.168","soil.temp.mn","soil.temp.surf.1","soil.temp.surf.4","soil.temp.surf.6","soil.temp.surf.12","soil.temp.surf.24","soil.temp.surf.48","soil.temp.surf.72","soil.temp.surf.96","soil.temp.surf.168","soil.temp.surf.mn","soil.temp.z","rad.1","rad.4","rad.6","rad.12","rad.24","rad.48","rad.72","rad.96","rad.168","rad.mn","wind.1","wind.4","wind.6","wind.12","wind.24","wind.48","wind.72","wind.96","wind.168","wind.mn","wind.z","wind.2m.1","wind.2m.4","wind.2m.6","wind.2m.12","wind.2m.24","wind.2m.48","wind.2m.72","wind.2m.96","wind.2m.168","wind.2m.mn","wind.loc","rain.1","rain.4","rain.6","rain.12","rain.24","rain.48","rain.72","rain.96","rain.168","rain.tot","rain.rate.1","rain.rate.4","rain.rate.6","rain.rate.12","rain.rate.24","rain.rate.48","rain.rate.72","rain.rate.96","rain.rate.168","rain.rate.mn","rh.1","rh.4","rh.6","rh.12","rh.24","rh.48","rh.72","rh.96","rh.168","rh.mn","far.loc","man.source","man.source.orig","man.source.det","man.bed","man.con","man.trt1","man.trt2","man.trt3","man.stor","man.dm","man.vs","man.tkn","man.tan","man.vfa","man.tic","man.ua","man.ph","acid","date.start","app.start","app.start.orig","app.end","app.end.orig","app.method","app.method2","app.method.orig","app.rate","tan.app","incorp","incorp.orig","time.incorp","man.area","dist.inj","furrow.z","furrow.w","crop","crop.orig","crop.z","crop.area","lai","notes.plot","flag.plot","app.date","app.mthd"
101,1,1,1,1,"VLAHR","1_DR_p1",1,"ADAS","UK",NA,"ALFAM1.xlsx",5423,5429,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","1",1,7,1998-09-07 04:00:00,1998-09-11 04:00:00,2.3333,2.3333,23.867,2.3333,93.983,"wt","wt","Wind tunnel",NA,1.4735,0.011548,NA,4.1943,5.0979,6.4756,9.3604,14.047,15.695,NA,NA,16.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.032871,0.039953,0.050749,0.073357,0.11009,0.123,NA,NA,0.12977,61.5,26,12.5,2.58,"clay","clay",0.324,NA,NA,7.9,NA,NA,"No",NA,NA,30.4,30.4,19.689,19.205,18.375,NA,NA,17.23,NA,NA,NA,19.317,19.317,16.77,16.474,16.009,NA,NA,15.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,NA,NA,0.5,0.25,NA,NA,0.82301,0.82301,0.82301,0.82301,0.82301,NA,NA,0.82301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pig","Pig",NA,"None","slurry","None","none",NA,NA,4.74,NA,4.76,3.19,NA,NA,NA,7.17,FALSE,1998-09-07,NA,NA,NA,NA,"bc","bc","Broadcast",40,127.6,"none","None",NA,NA,NA,NA,NA,"stubble","Stubble",NA,NA,NA,"","",NA,"bc"
101,1,2,2,1,"VLAHR","1_DR_p1",1,"ADAS","UK",NA,"ALFAM1.xlsx",5486,5492,NA,NA,NA,NA,NA,NA,NA,"10",NA,"5","5",1,7,1998-09-07 04:00:00,1998-09-11 04:00:00,2.3333,2.3333,23.867,2.3333,93.983,"wt","wt","Wind tunnel",NA,14.877,0.11659,NA,42.036,50.776,59.743,77.514,93.727,99.933,NA,NA,103.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32943,0.39793,0.4682,0.60749,0.73454,0.78317,NA,NA,0.80928,61.5,26,12.5,2.58,"clay","clay",0.324,NA,NA,7.9,NA,NA,"No",NA,NA,30.4,30.4,19.689,19.205,18.375,NA,NA,17.23,NA,NA,NA,19.317,19.317,16.77,16.474,16.009,NA,NA,15.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.01,4.01,4.01,4.01,4.01,NA,NA,4.01,0.25,NA,NA,6.6005,6.6005,6.6005,6.6005,6.6005,NA,NA,6.6005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pig","Pig",NA,"None","slurry","None","none",NA,NA,4.74,NA,4.76,3.19,NA,NA,NA,7.17,FALSE,1998-09-07,NA,NA,NA,NA,"bc","bc","Broadcast",40,127.6,"none","None",NA,NA,NA,NA,NA,"stubble","Stubble",NA,NA,NA,"","",NA,"bc"
101,1,3,3,1,"VLAHR","1_DR_p1",1,"ADAS","UK",NA,"ALFAM1.xlsx",5430,5436,NA,NA,NA,NA,NA,NA,NA,"2",NA,"3","3",1,7,1998-09-07 04:00:00,1998-09-11 04:00:00,2.3333,2.3333,23.867,2.3333,93.983,"wt","wt","Wind tunnel",NA,2.937,0.023017,NA,7.7876,8.9059,11.102,15.495,20.154,22.34,NA,NA,23.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.061031,0.069796,0.087005,0.12143,0.15795,0.17507,NA,NA,0.18314,61.5,26,12.5,2.58,"clay","clay",0.324,NA,NA,7.9,NA,NA,"No",NA,NA,30.4,30.4,19.689,19.205,18.375,NA,NA,17.23,NA,NA,NA,19.317,19.317,16.77,16.474,16.009,NA,NA,15.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.9,1.9,1.9,1.9,NA,NA,1.9,0.25,NA,NA,3.1274,3.1274,3.1274,3.1274,3.1274,NA,NA,3.1274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pig","Pig",NA,"None","slurry","None","none",NA,NA,4.74,NA,4.76,3.19,NA,NA,NA,7.17,FALSE,1998-09-07,NA,NA,NA,NA,"bc","bc","Broadcast",40,127.6,"none","None",NA,NA,NA,NA,NA,"stubble","Stubble",NA,NA,NA,"","",NA,"bc"
101,1,4,4,1,"VLAHR","1_DR_p1",1,"ADAS","UK",NA,"ALFAM1.xlsx",5437,5443,NA,NA,NA,NA,NA,NA,NA,"3",NA,"4","4",1,7,1998-09-07 04:00:00,1998-09-11 04:00:00,2.3333,2.3333,23.867,2.3333,93.983,"wt","wt","Wind tunnel",NA,8.4092,0.065903,NA,23,27.033,31.59,40.738,51.146,55.506,NA,NA,58.685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18025,0.21186,0.24758,0.31926,0.40083,0.43501,NA,NA,0.45992,61.5,26,12.5,2.58,"clay","clay",0.324,NA,NA,7.9,NA,NA,"No",NA,NA,30.4,30.4,19.689,19.205,18.375,NA,NA,17.23,NA,NA,NA,19.317,19.317,16.77,16.474,16.009,NA,NA,15.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.92,2.92,2.92,2.92,2.92,NA,NA,2.92,0.25,NA,NA,4.8064,4.8064,4.8064,4.8064,4.8064,NA,NA,4.8064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pig","Pig",NA,"None","slurry","None","none",NA,NA,4.74,NA,4.76,3.19,NA,NA,NA,7.17,FALSE,1998-09-07,NA,NA,NA,NA,"bc","bc","Broadcast",40,127.6,"none","None",NA,NA,NA,NA,NA,"stubble","Stubble",NA,NA,NA,"","",NA,"bc"
101,1,5,5,1,"VLAHR","1_DR_p1",1,"ADAS","UK",NA,"ALFAM1.xlsx",5444,5450,NA,NA,NA,NA,NA,NA,NA,"4",NA,"2","2",1,7,1998-09-07 04:00:00,1998-09-11 04:00:00,2.3333,2.3333,23.867,2.3333,93.983,"wt","wt","Wind tunnel",NA,1.9596,0.015357,NA,5.3888,6.3653,8.1018,11.657,17.121,19.224,NA,NA,19.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042232,0.049885,0.063493,0.091353,0.13417,0.15065,NA,NA,0.15627,61.5,26,12.5,2.58,"clay","clay",0.324,NA,NA,7.9,NA,NA,"No",NA,NA,30.4,30.4,19.689,19.205,18.375,NA,NA,17.23,NA,NA,NA,19.317,19.317,16.77,16.474,16.009,NA,NA,15.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,0.89,0.89,0.89,0.89,NA,NA,0.89,0.25,NA,NA,1.465,1.465,1.465,1.465,1.465,NA,NA,1.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pig","Pig",NA,"None","slurry","None","none",NA,NA,4.74,NA,4.76,3.19,NA,NA,NA,7.17,FALSE,1998-09-07,NA,NA,NA,NA,"bc","bc","Broadcast",40,127.6,"none","None",NA,NA,NA,NA,NA,"stubble","Stubble",NA,NA,NA,"","",NA,"bc"
101,1,6,6,1,"VLAHR","1_DR_p1",1,"ADAS","UK",NA,"ALFAM1.xlsx",5451,5457,NA,NA,NA,NA,NA,NA,NA,"5",NA,"3","3",1,7,1998-09-07 04:00:00,1998-09-11 04:00:00,2.3333,2.3333,23.867,2.3333,93.983,"wt","wt","Wind tunnel",NA,5.0131,0.039288,NA,13.767,16.24,19.781,26.92,34.21,33.925,NA,NA,35.422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10789,0.12727,0.15502,0.21098,0.26809,0.26587,NA,NA,0.2776,61.5,26,12.5,2.58,"clay","clay",0.324,NA,NA,7.9,NA,NA,"No",NA,NA,30.4,30.4,19.689,19.205,18.375,NA,NA,17.23,NA,NA,NA,19.317,19.317,16.77,16.474,16.009,NA,NA,15.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.95,1.95,1.95,1.95,1.95,NA,NA,1.95,0.25,NA,NA,3.2097,3.2097,3.2097,3.2097,3.2097,NA,NA,3.2097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pig","Pig",NA,"None","slurry","None","none",NA,NA,4.74,NA,4.76,3.19,NA,NA,NA,7.17,FALSE,1998-09-07,NA,NA,NA,NA,"bc","bc","Broadcast",40,127.6,"none","None",NA,NA,NA,NA,NA,"stubble","Stubble",NA,NA,NA,"","",NA,"bc"
101,1,7,7,1,"VLAHR","1_DR_p1",1,"ADAS","UK",NA,"ALFAM1.xlsx",5458,5464,NA,NA,NA,NA,NA,NA,NA,"6",NA,"4","4",1,7,1998-09-07 04:00:00,1998-09-11 04:00:00,2.3333,2.3333,23.867,2.3333,93.983,"wt","wt","Wind tunnel",NA,8.8735,0.069542,NA,24.281,28.55,33.518,43.553,55.58,60.61,NA,NA,63.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19029,0.22375,0.26268,0.34133,0.43558,0.475,NA,NA,0.4969,61.5,26,12.5,2.58,"clay","clay",0.324,NA,NA,7.9,NA,NA,"No",NA,NA,30.4,30.4,19.689,19.205,18.375,NA,NA,17.23,NA,NA,NA,19.317,19.317,16.77,16.474,16.009,NA,NA,15.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.93,2.93,2.93,2.93,2.93,NA,NA,2.93,0.25,NA,NA,4.8228,4.8228,4.8228,4.8228,4.8228,NA,NA,4.8228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pig","Pig",NA,"None","slurry","None","none",NA,NA,4.74,NA,4.76,3.19,NA,NA,NA,7.17,FALSE,1998-09-07,NA,NA,NA,NA,"bc","bc","Broadcast",40,127.6,"none","None",NA,NA,NA,NA,NA,"stubble","Stubble",NA,NA,NA,"","",NA,"bc"
101,1,8,8,1,"VLAHR","1_DR_p1",1,"ADAS","UK",NA,"ALFAM1.xlsx",5465,5471,NA,NA,NA,NA,NA,NA,NA,"7",NA,"1","1",1,7,1998-09-07 04:00:00,1998-09-11 04:00:00,2.3333,2.3333,23.867,2.3333,93.983,"wt","wt","Wind tunnel",NA,1.8428,0.014442,NA,5.1657,6.2006,7.8354,11.2,15.625,17.498,NA,NA,18.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.040484,0.048594,0.061407,0.087774,0.12245,0.13714,NA,NA,0.14556,61.5,26,12.5,2.58,"clay","clay",0.324,NA,NA,7.9,NA,NA,"No",NA,NA,30.4,30.4,19.689,19.205,18.375,NA,NA,17.23,NA,NA,NA,19.317,19.317,16.77,16.474,16.009,NA,NA,15.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,0.49,0.49,0.49,0.49,NA,NA,0.49,0.25,NA,NA,0.80655,0.80655,0.80655,0.80655,0.80655,NA,NA,0.80655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pig","Pig",NA,"None","slurry","None","none",NA,NA,4.74,NA,4.76,3.19,NA,NA,NA,7.17,FALSE,1998-09-07,NA,NA,NA,NA,"bc","bc","Broadcast",40,127.6,"none","None",NA,NA,NA,NA,NA,"stubble","Stubble",NA,NA,NA,"","",NA,"bc"
101,1,9,9,1,"VLAHR","1_DR_p1",1,"ADAS","UK",NA,"ALFAM1.xlsx",5472,5478,NA,NA,NA,NA,NA,NA,NA,"8",NA,"5","5",1,7,1998-09-07 04:00:00,1998-09-11 04:00:00,2.3333,2.3333,23.867,2.3333,93.983,"wt","wt","Wind tunnel",NA,8.7898,0.068886,NA,25.215,30.833,37.653,51.381,65.633,71.468,NA,NA,74.546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19761,0.24164,0.29509,0.40267,0.51437,0.5601,NA,NA,0.58421,61.5,26,12.5,2.58,"clay","clay",0.324,NA,NA,7.9,NA,NA,"No",NA,NA,30.4,30.4,19.689,19.205,18.375,NA,NA,17.23,NA,NA,NA,19.317,19.317,16.77,16.474,16.009,NA,NA,15.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.07,4.07,4.07,4.07,4.07,NA,NA,4.07,0.25,NA,NA,6.6993,6.6993,6.6993,6.6993,6.6993,NA,NA,6.6993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pig","Pig",NA,"None","slurry","None","none",NA,NA,4.74,NA,4.76,3.19,NA,NA,NA,7.17,FALSE,1998-09-07,NA,NA,NA,NA,"bc","bc","Broadcast",40,127.6,"none","None",NA,NA,NA,NA,NA,"stubble","Stubble",NA,NA,NA,"","",NA,"bc"
101,1,10,10,1,"VLAHR","1_DR_p1",1,"ADAS","UK",NA,"ALFAM1.xlsx",5479,5485,NA,NA,NA,NA,NA,NA,NA,"9",NA,"2","2",1,7,1998-09-07 04:00:00,1998-09-11 04:00:00,2.3333,2.3333,23.867,2.3333,93.983,"wt","wt","Wind tunnel",NA,4.1303,0.032369,NA,11.701,14.166,17.268,23.63,33.033,36.857,NA,NA,39.135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.091702,0.11102,0.13533,0.18519,0.25888,0.28885,NA,NA,0.3067,61.5,26,12.5,2.58,"clay","clay",0.324,NA,NA,7.9,NA,NA,"No",NA,NA,30.4,30.4,19.689,19.205,18.375,NA,NA,17.23,NA,NA,NA,19.317,19.317,16.77,16.474,16.009,NA,NA,15.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,0.95,0.95,0.95,0.95,NA,NA,0.95,0.25,NA,NA,1.5637,1.5637,1.5637,1.5637,1.5637,NA,NA,1.5637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pig","Pig",NA,"None","slurry","None","none",NA,NA,4.74,NA,4.76,3.19,NA,NA,NA,7.17,FALSE,1998-09-07,NA,NA,NA,NA,"bc","bc","Broadcast",40,127.6,"none","None",NA,NA,NA,NA,NA,"stubble","Stubble",NA,NA,NA,"","",NA,"bc"
103,22,116,116,1,"2","2",12,"CRPA","IT",NA,"ALFAM1.xlsx",726,741,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","1",1,16,1998-07-15 16:00:00,1998-07-18 15:30:00,1,1,12,1,71.5,"wt","wt","Wind tunnel",NA,2.33,0.013811,2.33,4.2767,5.3101,7.8199,12.273,22.753,NA,NA,NA,27.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013811,0.025351,0.031477,0.046354,0.072748,0.13488,NA,NA,NA,0.16438,40,46,14,2.6,"loam","loam",NA,NA,"wet",7.5,NA,NA,"No",NA,NA,26.29,21.592,18.247,18.943,19.88,NA,NA,19.88,0.3,NA,NA,16.75,16.9,16.183,16.028,16.474,NA,NA,16.474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,0.48,0.48,0.48,0.48,NA,NA,0.48,0.25,NA,NA,0.79009,0.79009,0.79009,0.79009,0.79009,NA,NA,0.79009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pig","Pig",NA,"None","slurry","None","none",NA,NA,1.16,NA,2.72,2.41,NA,NA,NA,7.88,FALSE,1998-07-15,NA,NA,NA,NA,"bc","bc","Broadcast",70,168.7,"none","None",NA,NA,NA,NA,NA,"grass","Grass",3,NA,NA,"","",NA,"bc"
103,22,117,117,1,"2","2",12,"CRPA","IT",NA,"ALFAM1.xlsx",742,757,NA,NA,NA,NA,NA,NA,NA,"2",NA,"1","2",2,16,1998-07-15 15:20:00,1998-07-18 14:50:00,1,1,12,1,71.5,"wt","wt","Wind tunnel",NA,4.71,0.027919,4.71,7.9033,9.4899,13.36,21.109,30.312,NA,NA,NA,34.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027919,0.046848,0.056253,0.079193,0.12513,0.17967,NA,NA,NA,0.20699,40,46,14,2.6,"loam","loam",NA,NA,"wet",7.5,NA,NA,"No",NA,NA,26.29,21.592,18.247,18.943,19.88,NA,NA,19.88,0.3,NA,NA,16.75,16.9,16.183,16.028,16.474,NA,NA,16.474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53,0.53,0.53,0.53,0.53,NA,NA,0.53,0.25,NA,NA,0.87239,0.87239,0.87239,0.87239,0.87239,NA,NA,0.87239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pig","Pig",NA,"None","slurry","None","none",NA,NA,1.16,NA,2.72,2.41,NA,NA,NA,7.88,FALSE,1998-07-15,NA,NA,NA,NA,"bc","bc","Broadcast",70,168.7,"none","None",NA,NA,NA,NA,NA,"grass","Grass",3,NA,NA,"","",NA,"bc"
103,22,118,118,1,"2","2",12,"CRPA","IT",NA,"ALFAM1.xlsx",758,773,NA,NA,NA,NA,NA,NA,NA,"3",NA,"1","3",3,16,1998-07-15 16:15:00,1998-07-18 15:45:00,1,1,12,1,71.5,"wt","wt","Wind tunnel",NA,4.42,0.0262,4.42,6.7967,7.9901,10.12,13.7,23.277,NA,NA,NA,26.749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0262,0.040289,0.047363,0.059989,0.081209,0.13797,NA,NA,NA,0.15856,40,46,14,2.6,"loam","loam",NA,NA,"wet",7.5,NA,NA,"No",NA,NA,26.29,21.592,18.247,18.943,19.88,NA,NA,19.88,0.3,NA,NA,16.75,16.9,16.183,16.028,16.474,NA,NA,16.474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,0.61,0.61,0.61,0.61,NA,NA,0.61,0.25,NA,NA,1.0041,1.0041,1.0041,1.0041,1.0041,NA,NA,1.0041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pig","Pig",NA,"None","slurry","None","none",NA,NA,1.16,NA,2.72,2.41,NA,NA,NA,7.88,FALSE,1998-07-15,NA,NA,NA,NA,"bc","bc","Broadcast",70,168.7,"none","None",NA,NA,NA,NA,NA,"grass","Grass",3,NA,NA,"","",NA,"bc"
103,29,144,144,1,"3","8",19,"CRPA","IT",NA,"ALFAM1.xlsx",1098,1113,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","1",1,16,1998-09-16 16:40:00,1998-09-19 16:40:00,1,1,6,1,72,"wt","wt","Wind tunnel",NA,0.0236,0.00015733,0.0236,0.1575,0.3309,2.5062,5.6958,7.6818,10.478,NA,NA,10.478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00015733,0.00105,0.002206,0.016708,0.037972,0.051212,0.069852,NA,NA,0.069852,39,46,15,2.45,"loam","loam",NA,NA,"dry",7.5,NA,NA,"No",NA,NA,23.798,18.762,16.277,16.325,15.629,NA,NA,15.629,0.3,NA,NA,19.517,17.158,15.092,15.483,15.222,NA,NA,15.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,0.71,0.71,0.71,0.71,NA,NA,0.71,0.25,NA,NA,1.1687,1.1687,1.1687,1.1687,1.1687,NA,NA,1.1687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pig","Pig",NA,"None","slurry","None","none",NA,NA,10.5,NA,6.38,3.75,NA,NA,NA,7.77,FALSE,1998-09-16,NA,NA,NA,NA,"os","os","Open slot",40,150,"none","None",NA,NA,NA,NA,NA,"stubble","Stubble",NA,NA,NA,"","",NA,"os"
103,29,145,145,1,"3","8",19,"CRPA","IT",NA,"ALFAM1.xlsx",1114,1129,NA,NA,NA,NA,NA,NA,NA,"2",NA,"1","2",2,16,1998-09-16 16:40:00,1998-09-19 16:40:00,1,1,6,1,72,"wt","wt","Wind tunnel",NA,0.8508,0.005672,0.8508,2.2961,2.6071,2.9638,4.3897,12.32,14.805,NA,NA,14.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005672,0.015308,0.017381,0.019759,0.029265,0.082137,0.098701,NA,NA,0.098701,39,46,15,2.45,"loam","loam",NA,NA,"dry",7.5,NA,NA,"No",NA,NA,23.798,18.762,16.277,16.325,15.629,NA,NA,15.629,0.3,NA,NA,19.517,17.158,15.092,15.483,15.222,NA,NA,15.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82,0.82,0.82,0.82,0.82,NA,NA,0.82,0.25,NA,NA,1.3497,1.3497,1.3497,1.3497,1.3497,NA,NA,1.3497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pig","Pig",NA,"None","slurry","None","none",NA,NA,10.5,NA,6.38,3.75,NA,NA,NA,7.77,FALSE,1998-09-16,NA,NA,NA,NA,"os","os","Open slot",40,150,"none","None",NA,NA,NA,NA,NA,"stubble","Stubble",NA,NA,NA,"","",NA,"os"
103,29,146,146,1,"3","8",19,"CRPA","IT",NA,"ALFAM1.xlsx",1130,1145,NA,NA,NA,NA,NA,NA,NA,"3",NA,"2","1",1,16,1998-09-16 16:40:00,1998-09-19 16:40:00,1,1,6,1,72,"wt","wt","Wind tunnel",NA,5.0123,0.033415,5.0123,15.074,18.808,21.45,25.967,33.403,37.998,NA,NA,37.998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.033415,0.10049,0.12539,0.143,0.17311,0.22269,0.25332,NA,NA,0.25332,39,46,15,2.45,"loam","loam",NA,NA,"dry",7.5,NA,NA,"No",NA,NA,23.798,18.762,16.277,16.325,15.629,NA,NA,15.629,0.3,NA,NA,19.517,17.158,15.092,15.483,15.222,NA,NA,15.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,0.73,0.73,0.73,0.73,NA,NA,0.73,0.25,NA,NA,1.2016,1.2016,1.2016,1.2016,1.2016,NA,NA,1.2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pig","Pig",NA,"None","slurry","None","none",NA,NA,10.5,NA,6.38,3.75,NA,NA,NA,7.77,FALSE,1998-09-16,NA,NA,NA,NA,"bc","bc","Broadcast",40,150,"none","None",NA,NA,NA,NA,NA,"stubble","Stubble",NA,NA,NA,"","",NA,"bc"
