"app.mthd","meas.tech2","err1.mean","err2.mean","err1.sd","err2.sd","err1.n","err2.n"
"bc","micro met",-0.143965669770039,-0.0732678160221504,0.24571306045094,0.233399891412879,224,224
"bsth","micro met",7.60782335170622e-05,-0.0064538196463402,0.110071407566744,0.089758307068239,174,174
"os","micro met",0.011487931782496,0.0180110304159958,0.119060715340797,0.105777012055587,115,115
"ts","micro met",-0.00633987155213021,0.00949606133585491,0.154884997611215,0.143491330415527,116,116
"bc","wt",-0.143211813304312,-0.0731370358279572,0.233758189110011,0.238506877823492,464,464
"bsth","wt",-0.0692035742618642,-0.0592167591248639,0.144676746785426,0.165483135044019,155,155
"os","wt",-0.056390399591587,-0.0667913240227932,0.125187012836413,0.127848196460425,42,42
"ts","wt",0.0142332832933616,-0.0576038169593323,0.102369255664331,0.0905130828737479,84,84
